PhysDataTblID,Location,Date,RiverMile,SpeciesCode,Count,FL..mm.,DistToBottom,Focal.Velocity,TCode,Depth,Velocity,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,IcovA,IcovB,IcovC,IcovE,IcovF,Ocov0,Ocov1,Ocov2,SurTurb,CGU,Distance,FishAge,SpecAge
72,Auditorium Riffle,2001-05-21,66,CHN,200,35,25,0.5,24.4,41,0.5,0,0,0,20,60,20,80,0,0,20,0,30,30,40,10,g,4,0,chn0
73,Bedrock,2001-05-22,65.8,CHN,50,35,10,0,9.4,34,0,0,0,0,40,40,20,90,0,0,10,0,100,0,0,10,g,4,0,chn0
73,Bedrock,2001-05-22,65.8,CHN,1,35,4,0,9.4,34,0,0,0,0,40,40,20,90,0,0,10,0,100,0,0,10,g,4,0,chn0
74,Aleck Riffle,2001-05-22,63.5,RBTS,1,30,5,0,9.2,22,0,0,0,15,15,60,10,70,0,0,30,0,70,30,0,0,p,2,0,rbt0
76,Lower Robinson,2001-05-21,61.5,RBTS,1,40,15,0,12.1,23,0,0,40,30,30,0,0,70,0,0,30,0,30,30,40,10,g,1,0,rbt0
76,Lower Robinson,2001-05-21,61.5,CHN,5,70,20,0,12.3,39,0,0,0,100,0,0,0,100,0,0,0,0,0,25,75,20,g,3,0,chn0
76,Lower Robinson,2001-05-21,61.5,CHN,1,100,20,0,12.3,39,0,0,0,100,0,0,0,100,0,0,0,0,0,25,75,20,g,3,1,
77,Steep Side Channel,2001-05-21,61,RBTC,2,450,25,0,15.3,79,0,0,0,40,40,20,0,100,0,0,0,0,100,0,0,30,r,3,1,rbt1
77,Steep Side Channel,2001-05-21,61,CHN,20,80,40,0,24.3,80,0,0,40,0,20,0,40,40,60,0,0,0,40,0,60,10,p,3,0,chn0
78,Eye Riffle Main Channel,2001-05-22,60,RBTS,1,40,10,0,15.1,43,0,0,40,30,30,0,0,60,10,0,30,0,70,0,30,0,p,1,0,rbt0
79,Eye Riffle Side,2001-05-22,60,RBTS,1,40,2,0,18.1,7,0,40,60,0,0,0,0,70,20,0,10,0,0,20,80,0,p,1,0,rbt0
79,Eye Riffle Side,2001-05-22,60,CHN,4,35,2,0,18.1,7,0,40,60,0,0,0,0,70,20,0,10,0,0,20,80,0,p,1,0,chn0
79,Eye Riffle Side,2001-05-22,60,CHN,2,75,2,0.57999998,21.2,21,0.82,20,80,0,0,0,0,80,10,0,10,0,80,10,10,0,g,2,0,chn0
90,Junkyard Riffle,2001-05-24,49,TP,15,40,40,2.03,18.3,79,2.03,40,20,40,0,0,0,70,10,0,20,0,100,0,0,0,g,3,0,
